task,split,Codex/gpt-6-astra,Claude Code/Fable 5.1,Gemini CLI/3.1 Pro
G-136_locate_point_in_overlapping_area,Out_of_Domain,1.0,1.0,1.0
G-13_grid_number_sequence,In_Domain,1.0,1.0,1.0
G-147_identify_unique_figure_in_uniform_set,Out_of_Domain,1.0,1.0,1.0
G-158_identify_all_hollow_points,In_Domain,1.0,1.0,1.0
G-160_circle_largest_numerical_value,Out_of_Domain,1.0,1.0,1.0
G-161_mark_second_largest_shape,Out_of_Domain,1.0,1.0,1.0
G-202_mark_wave_peaks,Out_of_Domain,1.0,1.0,1.0
G-206_identify_pentagons,Out_of_Domain,1.0,1.0,1.0
G-212_find_incorrect_arrow_direction,Out_of_Domain,1.0,1.0,1.0
G-217_circle_central_dot,Out_of_Domain,1.0,1.0,1.0
G-222_mark_tangent_point_of_circles,Out_of_Domain,1.0,1.0,1.0
G-247_identify_chinese_character,Out_of_Domain,1.0,1.0,1.0
G-248_mark_asymmetrical_shape,Out_of_Domain,1.0,1.0,1.0
G-3_stable_sort,In_Domain,1.0,1.0,1.0
G-54_connecting_color,Out_of_Domain,1.0,1.0,1.0
G-5_multi_object_placement,In_Domain,1.0,1.0,1.0
G-8_track_object_movement,In_Domain,1.0,1.0,1.0
O-16_color_addition,In_Domain,1.0,1.0,1.0
O-2_pigment_color_mixing_subtractive,Out_of_Domain,1.0,1.0,1.0
O-37_light_sequence,In_Domain,1.0,1.0,1.0
O-38_majority_color,In_Domain,1.0,1.0,1.0
O-39_maze,Out_of_Domain,1.0,1.0,1.0
O-45_sequence_completion,In_Domain,1.0,1.0,1.0
O-47_sliding_puzzle,In_Domain,1.0,1.0,1.0
O-58_symbol_delete,Out_of_Domain,1.0,1.0,1.0
O-60_symbol_substitute,Out_of_Domain,1.0,1.0,1.0
O-65_animal_size_sorting,Out_of_Domain,1.0,1.0,1.0
